station_uuid,durchschnitt_aenderung,uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json
fdf982fe-0b1a-4b86-9f0d-836217d446af,0.6363636363636364,fdf982fe-0b1a-4b86-9f0d-836217d446af,team Tankstelle Schortens,team,Bohlswarfer Weg,2,26419,Schortens,53.5393,7.9679,2019-05-03T23:30:07.000+02:00,{}
2a5e0e60-e57b-415e-906b-7bbe1fae859b,0.5555555555555556,2a5e0e60-e57b-415e-906b-7bbe1fae859b,Thomas Vogeler,Westfalen,Wittener Str.,19,58285,Gevelsberg,51.32162,7.33795,2014-03-18T16:45:31.000+01:00,"\"{\"\"openingTimes\"\":[{\"\"applicable_days\"\":64"
28008ffd-4ab5-45a0-9816-655f78b357cc,0.8461538461538461,28008ffd-4ab5-45a0-9816-655f78b357cc,ENI,AGIP ENI,Pütrichstrasse,29,82362,Weilheim,47.84385,11.14761,2014-03-20T00:00:01.000+01:00,"\"{\"\"openingTimes\"\":[{\"\"applicable_days\"\":63"
f895455e-33d4-f76f-e100-00000630df04,0.6470588235294118,f895455e-33d4-f76f-e100-00000630df04,ENI,AGIP ENI,Regensburger Str.,16,93087,Alteglofsheim,48.926336,12.207379,2020-09-24T16:01:16.000+02:00,"\"{\"\"openingTimes\"\":[{\"\"applicable_days\"\":255"
93489447-3db9-41fa-94a6-43abcae6bc33,0.7105263157894737,93489447-3db9-41fa-94a6-43abcae6bc33,TotalEnergies Grevesmuehlen,TotalEnergies,Wismarsche Str.,153A,23936,Grevesmuehlen,53.865385,11.2095,2014-03-18T16:45:31.000+01:00,{}
dbb0a607-7b91-42bf-af87-0c06c45991ed,0.8846153846153846,dbb0a607-7b91-42bf-af87-0c06c45991ed,TotalEnergies Kaiserslautern,TotalEnergies,Mainzer Str.,140,67657,Kaiserslautern,49.457298,7.801527,2014-03-18T16:45:31.000+01:00,{}
376b3383-6ffa-4420-aa7c-5f3994033fed,1.0,376b3383-6ffa-4420-aa7c-5f3994033fed,AVIA Tankstelle,AVIA,Höwwel,3,46414,Rhede,51.82724,6.717233,2019-07-03T23:30:07.000+02:00,{}
e9431308-8ea4-4575-9fd0-8f9a4dcfeb0f,0.8571428571428571,e9431308-8ea4-4575-9fd0-8f9a4dcfeb0f,ENI,AGIP ENI,Coburger Str.,503,98673,Eisfeld,50.394442205018,10.921502163022,2014-03-20T00:00:01.000+01:00,{}
005056ba-7cb6-1ed2-bceb-7c4d1b36ed27,0.7948717948717948,005056ba-7cb6-1ed2-bceb-7c4d1b36ed27,star Tankstelle,STAR,Bahnhofstraße,68,37441,Bad Sachsa,51.592741,10.564006,2014-03-18T16:45:31.000+01:00,"\"{\"\"overrides\"\":[{\"\"startp\"\":\"\"2024-12-31 09:00\"\""
7aac5ce2-e2e0-4f6b-a353-f953966bf1d0,0.95,7aac5ce2-e2e0-4f6b-a353-f953966bf1d0,Aral Tankstelle,ARAL,Kufsteiner Straße,57,83022,Rosenheim,47.848766,12.127539,2014-03-18T16:45:31.000+01:00,{}
