station_uuid,durchschnitt_aenderung,uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json
e8a3e99d-758e-46d7-9941-cbce702c6704,1.0,e8a3e99d-758e-46d7-9941-cbce702c6704,TotalEnergies Autohof Holdorf,TotalEnergies Autohof,Zum Hansa-Center,2,49451,Holdorf,52.59744,8.118027,2014-03-18T16:45:31.000+01:00,{}
474226be-281f-4545-93d2-acc2f26119bc,1.0,474226be-281f-4545-93d2-acc2f26119bc,TotalEnergies Eschweiler,TotalEnergies,Duerener Str.,168-172,52249,Eschweiler,50.818873,6.282095,2014-03-18T16:45:31.000+01:00,{}
482ed2fa-8f25-48d7-8319-62d78bb80dad,0.6521739130434783,482ed2fa-8f25-48d7-8319-62d78bb80dad,HOHEN-NEUENDORF - BAT A111 STOLPER,AGIP ENI,Bat A 111 Stolper Heide,,16540,Hohen-Neuendorf,52.6404877,13.2439444,2014-03-20T00:00:01.000+01:00,{}
7e153319-1803-4975-8b72-9cacdbcd4e84,0.6666666666666666,7e153319-1803-4975-8b72-9cacdbcd4e84,Raiffeisen Westfalen Mitte eG,Raiffeisen,Driburger Str.,317,33100,Paderborn,51.7219,8.851,2014-03-18T16:45:31.000+01:00,{}
e43f4d46-86a9-4129-a364-97eefed7e9d0,0.8125,e43f4d46-86a9-4129-a364-97eefed7e9d0,AGROA Raiffeisen eG,Raiffeisen,Winnender Straße,50,71563,Affalterbach,48.920868,9.329652,2014-03-18T16:45:31.000+01:00,{}
00061796-1231-4444-8888-acdc00001231,0.8695652173913043,00061796-1231-4444-8888-acdc00001231,Mengin Tank-Stop Schöffengrund,Mengin,Steuterweg,23,35641,Schöffengrund-Schwalbach,50.494892120361,8.471586227417,2015-06-13T00:00:01.000+02:00,{}
7e6bc975-70fb-4802-9e3a-1e8057f6f2f7,0.8,7e6bc975-70fb-4802-9e3a-1e8057f6f2f7,Shell Hunderdorf A3 Bayerischer Wald Sued,Shell,A3 Bayerischer Wald Sued,,94336,Hunderdorf,48.931828,12.705182,2018-09-28T23:30:06.000+02:00,{}
b033d75d-0ac3-49c3-81c0-d3eae2a105cc,0.7450980392156863,b033d75d-0ac3-49c3-81c0-d3eae2a105cc,Michael Bien,Westfalen,Werner Hellweg,526,44894,Bochum,51.4923,7.31061,2014-03-18T16:45:31.000+01:00,"\"{\"\"overrides\"\":[{\"\"startp\"\":\"\"2024-12-31 04:30\"\""
f677290a-1b9e-4b1c-80c2-a49a3988c2c1,0.7857142857142857,f677290a-1b9e-4b1c-80c2-a49a3988c2c1,team Tankstelle Waren West,team,Warendorfer Str.,13,17192,Waren,53.522,12.6493,2014-03-18T16:45:31.000+01:00,"\"{\"\"overrides\"\":[{\"\"startp\"\":\"\"2024-12-31 15:00\"\""
2ff9326b-7667-452a-aa29-75cdf35623fb,0.8604651162790697,2ff9326b-7667-452a-aa29-75cdf35623fb,Shell Karlstadt Wuerzburger Str. 22,Shell,Wuerzburger Str.,22,97753,Karlstadt,49.953323,9.774643,2014-03-18T16:45:31.000+01:00,"\"{\"\"openingTimes\"\":[{\"\"applicable_days\"\":224"
